,scenario,optimizer,value
0,gas,logical,1.8495356644090408
1,gas,optimal,1.8495356644090408
2,wind,logical,0.8549886295182869
3,wind,optimal,0.854988629518287
4,all,logical,0.7300868588850394
5,all,optimal,0.5879740895835938
