,NaturalGas_Conv,Nuclear,Battery,Curtailment,Battery_charge,Battery_level,Cost,WindTurbine
0,0.0,500.0,0.0,-567.3955280440324,-0.0,-0.0,0.0029055,885.2864628917282
1,298.28720791913236,500.0,0.0,-0.0,0.0,-0.0,0.009583255723685617,26.642873648689804
2,0.0,500.0,0.0,-0.0,-0.5010160879026557,0.46191400962374957,0.0029055,315.4818702493404
3,37.56877214261447,500.0,0.46191400962374957,-0.0,-0.0,0.03605033490649218,0.0037465521019567102,246.42515850060582
4,0.0,500.0,0.0,-5.72351282917549,-162.86103226986387,150.18650307216865,0.0029055,451.62203647710476
5,0.0,500.0,150.18650307216865,-0.0,-0.0,11.721388876247289,0.0029055,162.3026610787334
6,0.0,500.0,0.0,-99.19220625251035,-0.0,11.721388876247289,0.0029055,326.02400082687905
7,0.0,500.0,0.0,-556.1464158039967,-0.0,11.721388876247289,0.0029055,832.285053106976
8,0.0,500.0,0.0,-0.0,-59.20929883119027,66.30966516217714,0.0029055,296.0010898663438
9,0.0,500.0,0.0,-264.95363301987817,-169.92431381370824,222.97214172022424,0.0029055,725.0112817292128
10,0.0,500.0,162.39702136540473,-0.0,-0.0,73.24948589919507,0.0029055,131.59081128951092
11,0.0,500.0,0.0,-0.0,-44.21186599030034,114.01081230294001,0.0029055,395.95861873776664
12,0.0,500.0,0.0,-0.0,-115.28676709032368,220.299959755621,0.0029055,450.59611396554453
13,0.0,500.0,95.13596791806185,-0.0,-0.0,132.58893118480486,0.0029055,290.78118542967604
14,0.0,500.0,0.0,-95.14845947704953,-250.0,363.07754261712705,0.0029055,720.2239747957431
15,0.0,500.0,46.510851274756874,-0.0,-0.0,320.1966565097112,0.0029055,331.1369517551544
16,0.0,500.0,116.64637914056084,-0.0,-0.0,212.65400868284695,0.0029055,324.6078035519607
17,0.0,500.0,0.0,-0.0,-72.7600641185254,279.73547326846955,0.0029055,547.499927281811
18,0.0,500.0,0.0,-0.0,-126.88811799112136,396.7205377606064,0.0029055,581.4554191652824
19,73.3052016633261,500.0,250.0,-0.0,-0.0,166.23192632828423,0.004546583549636882,98.76696748306924
20,0.0,500.0,0.0,-0.0,-54.68693400973115,216.6507882618601,0.0029055,490.6759392744371
21,0.0,500.0,73.35660193981971,-0.0,-0.0,149.01934297984954,0.0029055,356.48188806510467
22,0.0,500.0,89.79118088358769,-0.0,-0.0,66.23596457694316,0.0029055,328.04679826757757
23,0.0,500.0,66.23596457694316,-0.0,-0.0,5.169422568062728,0.0029055,284.28935124832594
24,0.0,500.0,0.0,-111.38427268312887,-157.70893121075983,150.5698728290373,0.0029055,630.0537098731256
25,0.0,500.0,12.852404974133833,-0.0,-0.0,138.7205409248214,0.0029055,317.35081519927047
26,0.0,500.0,0.0,-84.60966390869737,-250.0,369.2091523571436,0.0029055,635.249031252212
27,9.849690390024307,500.0,250.0,-0.0,-0.0,138.72054092482142,0.0031260050187614744,22.794645097137156
28,0.0,500.0,0.0,-0.0,-174.76819678430286,299.84885692220064,0.0029055,430.29341377195567
29,0.0,500.0,0.0,-0.0,-155.92489804518374,443.60450987484387,0.0029055,404.2531539894191
30,0.0,500.0,121.1511307738449,-0.0,-0.0,331.9086862527671,0.0029055,162.00541612520993
31,0.0,500.0,161.2391207433451,-0.0,-0.0,183.25356205795848,0.0029055,106.24134491933974
32,0.0,500.0,0.0,-83.39551693613157,-250.0,413.74217349028066,0.0029055,597.6462595437685
33,0.0,500.0,0.0,-0.0,-128.76387240859623,532.4565981067049,0.0029055,371.3074228151457
34,0.0,500.0,0.0,-11.609573097129896,-250.0,762.945209539027,0.0029055,555.1281052897057
35,0.0,500.0,0.0,-47.93903429653278,-250.0,993.4338209713492,0.0029055,621.9284457824517
36,0.0,500.0,88.86881391853922,-0.0,-0.0,911.500822892463,0.0029055,245.2775163859882
37,0.0,500.0,0.0,-0.0,-95.99083503256168,1000.0,0.0029055,453.69381856815585
38,0.0,500.0,123.49215952994086,-0.0,-0.0,886.1458545086605,0.0029055,297.25434671310717
39,125.17612790451074,500.0,250.0,-0.0,-0.0,655.6572430763383,0.005707817975398282,44.16807237394007
40,0.0,500.0,0.0,-0.0,-21.478817748057622,675.4597345881692,0.0029055,427.4048761325454
41,63.2232251679103,500.0,250.0,-0.0,-0.0,444.97112315584707,0.004320878341834008,107.71008772945382
42,0.0,500.0,158.09408648279782,-0.0,-0.0,299.21557727952097,0.0029055,284.11981519375985
43,0.0,500.0,80.61478608311563,-0.0,-0.0,224.8924168586769,0.0029055,383.53686233943023
44,0.0,500.0,6.812542757085566,-0.0,-0.0,218.611562777061,0.0029055,397.0667270426761
45,113.53237504378865,500.0,34.11257470076193,-0.0,-0.0,187.16132287642108,0.005447149280105297,298.3338910351116
46,0.0,500.0,187.16132287642108,-0.0,-0.0,14.607109181929843,0.0029055,199.143158613435
47,165.35404834499514,500.0,14.607109181929843,-0.0,-0.0,1.1400199323965101,0.0066072810802994065,159.9225695253292
48,73.42814009765755,500.0,1.1400199323965101,-0.0,-0.0,0.0889734875035444,0.004549335772366259,282.6636356851573
49,0.0,500.0,0.0,-149.29198493312867,-250.0,230.57758491982574,0.0029055,749.8556006902969
50,62.46594231536369,500.0,230.57758491982574,-0.0,-0.0,17.99555541746979,0.004303925050614047,4.330566181849341
51,63.35142255204039,500.0,17.99555541746979,-0.0,-0.0,1.4044730969657304,0.004323748296672528,214.19164675145095
52,0.0,500.0,0.0,-0.0,-110.21729816881953,103.01980113997949,0.0029055,374.239765995703
