Evaluation Group,Metric Data
EG01,0.0
EG02,1.0
EG03,0.0
EG04,2.0
EG05,1.0
EG06,3.0
EG07,3.0
EG08,3.0
EG09,3.0
EG10,3.0
EG11,3.0
EG12,4.0
EG13,4.0
EG14,2.0
EG15,2.0
EG16,3.0
EG17,2.0
EG18,3.0
EG19,4.0
EG20,3.0
EG21,4.0
EG22,3.0
EG23,2.0
EG24,3.0
EG25,3.0
EG26,3.0
EG27,3.0
EG28,3.0
EG29,2.0
EG30,3.0
EG31,2.0
EG32,3.0
EG33,3.0
EG34,5.0
EG35,3.0
EG36,5.0
EG37,3.0
EG38,3.0
EG39,5.0
EG40,5.0
