,Battery,Battery_level,Battery_charge,Nuclear,NaturalGas_Conv,Curtailment,LoadLoss,WindTurbine
0,0.0,67.3955280440324,-67.3955280440324,500.0,0.0,-500.0,0,885.2864628917282
1,67.3955280440324,0.0,0.0,500.0,230.89167987509995,0.0,0,26.642873648689804
2,0.0,0.0,0.0,500.0,0.0,-0.5010160879026557,0,315.4818702493404
3,0.0,0.0,0.0,500.0,38.03068615223822,0.0,0,246.42515850060582
4,0.0,0.0,0.0,500.0,0.0,-168.58454509903936,0,451.62203647710476
5,0.0,0.0,0.0,500.0,150.18650307216865,0.0,0,162.3026610787334
6,0.0,0.0,0.0,500.0,0.0,-99.19220625251035,0,326.02400082687905
7,0.0,56.14641580399666,-56.14641580399666,500.0,0.0,-500.0,0,832.285053106976
8,56.14641580399666,0.0,0.0,500.0,0.0,-115.35571463518693,0,296.0010898663438
9,0.0,0.0,0.0,500.0,0.0,-434.8779468335864,0,725.0112817292128
10,0.0,0.0,0.0,500.0,162.39702136540473,0.0,0,131.59081128951092
11,0.0,0.0,0.0,500.0,0.0,-44.21186599030034,0,395.95861873776664
12,0.0,0.0,0.0,500.0,0.0,-115.28676709032368,0,450.59611396554453
13,0.0,0.0,0.0,500.0,95.13596791806185,0.0,0,290.78118542967604
14,0.0,0.0,0.0,500.0,0.0,-345.1484594770495,0,720.2239747957431
15,0.0,0.0,0.0,500.0,46.510851274756874,0.0,0,331.1369517551544
16,0.0,0.0,0.0,500.0,116.64637914056084,0.0,0,324.6078035519607
17,0.0,0.0,0.0,500.0,0.0,-72.7600641185254,0,547.499927281811
18,0.0,0.0,0.0,500.0,0.0,-126.88811799112136,0,581.4554191652824
19,0.0,0.0,0.0,500.0,323.3052016633261,0.0,0,98.76696748306924
20,0.0,0.0,0.0,500.0,0.0,-54.68693400973115,0,490.6759392744371
21,0.0,0.0,0.0,500.0,73.35660193981971,0.0,0,356.48188806510467
22,0.0,0.0,0.0,500.0,89.79118088358769,0.0,0,328.04679826757757
23,0.0,0.0,0.0,500.0,66.23596457694316,0.0,0,284.28935124832594
24,0.0,0.0,0.0,500.0,0.0,-269.0932038938887,0,630.0537098731256
25,0.0,0.0,0.0,500.0,12.852404974133833,0.0,0,317.35081519927047
26,0.0,0.0,0.0,500.0,0.0,-334.60966390869737,0,635.249031252212
27,0.0,0.0,0.0,500.0,259.8496903900243,0.0,0,22.794645097137156
28,0.0,0.0,0.0,500.0,0.0,-174.76819678430286,0,430.29341377195567
29,0.0,0.0,0.0,500.0,0.0,-155.92489804518374,0,404.2531539894191
30,0.0,0.0,0.0,500.0,121.1511307738449,0.0,0,162.00541612520993
31,0.0,0.0,0.0,500.0,161.2391207433451,0.0,0,106.24134491933974
32,0.0,0.0,0.0,500.0,0.0,-333.39551693613157,0,597.6462595437685
33,0.0,0.0,0.0,500.0,0.0,-128.76387240859623,0,371.3074228151457
34,0.0,0.0,0.0,500.0,0.0,-261.6095730971299,0,555.1281052897057
35,0.0,0.0,0.0,500.0,0.0,-297.9390342965328,0,621.9284457824517
36,0.0,0.0,0.0,500.0,88.86881391853922,0.0,0,245.2775163859882
37,0.0,0.0,0.0,500.0,0.0,-95.99083503256168,0,453.69381856815585
38,0.0,0.0,0.0,500.0,123.49215952994086,0.0,0,297.25434671310717
39,0.0,0.0,0.0,500.0,375.17612790451074,0.0,0,44.16807237394007
40,0.0,0.0,0.0,500.0,0.0,-21.478817748057622,0,427.4048761325454
41,0.0,0.0,0.0,500.0,313.2232251679103,0.0,0,107.71008772945382
42,0.0,0.0,0.0,500.0,158.09408648279782,0.0,0,284.11981519375985
43,0.0,0.0,0.0,500.0,80.61478608311563,0.0,0,383.53686233943023
44,0.0,0.0,0.0,500.0,6.812542757085566,0.0,0,397.0667270426761
45,0.0,0.0,0.0,500.0,147.64494974455056,0.0,0,298.3338910351116
46,0.0,0.0,0.0,500.0,187.16132287642108,0.0,0,199.143158613435
47,0.0,0.0,0.0,500.0,179.96115752692492,0.0,0,159.9225695253292
48,0.0,0.0,0.0,500.0,74.56816003005406,0.0,0,282.6636356851573
49,0.0,0.0,0.0,500.0,0.0,-399.2919849331287,0,749.8556006902969
50,0.0,0.0,0.0,500.0,293.04352723518946,0.0,0,4.330566181849341
51,0.0,0.0,0.0,500.0,81.34697796951014,0.0,0,214.19164675145095
52,0.0,0.0,0.0,500.0,0.0,-110.21729816881953,0,374.239765995703
53,0.0,0.0,0.0,500.0,0.0,-91.01397729785583,0,353.3982372133081
54,0.0,0.0,0.0,500.0,0.0,-32.16162503858442,0,325.11358621726566
55,0.0,0.0,0.0,500.0,187.39599232970932,0.0,0,96.49865373030075
56,0.0,0.0,0.0,500.0,84.26950323698145,0.0,0,171.63370928718686
