,NaturalGas_Conv,Nuclear,Battery,Curtailment,Battery_charge,Battery_level,Cost,WindTurbine
0,0.0,500.0,0.0,-682.1090651523042,-0.0,-0.0,0.0029055,1000.0
1,0.0,500.0,0.0,-242.41619386993705,-250.0,230.4886114323222,0.0029055,817.3462754377592
2,0.0,500.0,0.0,-685.0191458385623,-0.0,230.4886114323222,0.0029055,1000.0
3,0.0,500.0,0.0,-707.1424141946084,-0.0,230.4886114323222,0.0029055,991.5982588474524
4,0.0,500.0,0.0,-716.9625086219346,-0.0,230.4886114323222,0.0029055,1000.0
5,0.0,500.0,0.0,-57.662470030685085,-0.0,230.4886114323222,0.0029055,370.15163418158716
6,0.0,500.0,116.64528912344065,-0.0,-0.0,122.94696855158783,0.0029055,110.18650545092807
7,0.0,500.0,0.0,-25.158083728584756,-0.0,122.94696855158783,0.0029055,301.29672103156406
8,0.0,500.0,0.0,-763.2082089648464,-0.0,122.94696855158783,0.0029055,1000.0
9,0.0,500.0,0.0,-709.8666651043736,-0.0,122.94696855158783,0.0029055,1000.0
10,0.0,500.0,0.0,-671.4206048623647,-34.59156248271966,154.8388133672537,0.0029055,1000.0
11,0.0,500.0,0.0,-648.2532472525337,-0.0,154.8388133672537,0.0029055,1000.0
12,0.0,500.0,0.0,-664.6906531247791,-0.0,154.8388133672537,0.0029055,1000.0
13,0.0,500.0,154.8388133672537,-0.0,-0.0,12.08448101186653,0.0029055,231.0783399804842
14,0.0,500.0,0.0,-230.6665958903275,-8.055612281294861,19.511388567677784,0.0029055,613.7977234903159
15,0.0,500.0,0.0,-296.1111334655957,-250.0,249.99999999999997,0.0029055,923.758936495507
16,0.0,500.0,0.0,-308.74581730747843,-250.0,480.48861143232216,0.0029055,1000.0
17,97.48002298557128,500.0,250.0,-0.0,-0.0,250.0,0.0050877852745779845,127.25984017771432
18,204.567301174161,500.0,250.0,-0.0,-0.0,19.511388567677812,0.007485148171385942,0.0
19,0.0,500.0,0.0,-327.92783085360463,-250.0,250.0,0.0029055,1000.0
