Evaluation Group,Metric Data
EG01,0.0
EG02,0.0
EG03,1.0
EG04,2.0
EG05,3.0
EG06,2.0
EG07,2.0
EG08,2.0
EG09,2.0
EG10,2.0
EG11,2.0
EG12,1.0
EG13,3.0
EG14,1.0
EG15,3.0
EG16,3.0
EG17,3.0
EG18,3.0
EG19,1.0
EG20,1.0
EG21,3.0
EG22,3.0
EG23,2.0
EG24,2.0
EG25,2.0
EG26,2.0
EG27,2.0
EG28,2.0
EG29,1.0
EG30,1.0
EG31,1.0
EG32,1.0
EG33,1.0
EG34,1.0
EG35,3.0
EG36,3.0
EG37,1.0
EG38,1.0
EG39,3.0
EG40,3.0
