Evaluation Group,Metric Data
EG01,0.0
EG02,1.0
EG03,0.0
EG04,2.0
EG05,1.0
EG06,2.0
EG07,2.0
EG08,2.0
EG09,2.0
EG10,2.0
EG11,2.0
EG12,3.0
EG13,3.0
EG14,2.0
EG15,2.0
EG16,2.0
EG17,2.0
EG18,2.0
EG19,3.0
EG20,2.0
EG21,3.0
EG22,2.0
EG23,2.0
EG24,2.0
EG25,2.0
EG26,2.0
EG27,2.0
EG28,2.0
EG29,2.0
EG30,2.0
EG31,2.0
EG32,2.0
EG33,2.0
EG34,2.0
EG35,2.0
EG36,2.0
EG37,2.0
EG38,2.0
EG39,2.0
EG40,2.0
