,Nuclear,NaturalGas_Conv,Curtailment,LoadLoss
0,500.0,317.8909348476958,0.0,0
1,500.0,324.9300815678222,0.0,0
2,500.0,314.9808541614377,0.0,0
3,500.0,284.455844652844,0.0,0
4,500.0,283.0374913780654,0.0,0
5,500.0,312.48916415090207,0.0,0
6,500.0,226.8317945743687,0.0,0
7,500.0,276.1386373029793,0.0,0
8,500.0,236.79179103515355,0.0,0
9,500.0,290.1333348956264,0.0,0
10,500.0,293.9878326549157,0.0,0
11,500.0,351.7467527474663,0.0,0
12,500.0,335.30934687522085,0.0,0
13,500.0,385.9171533477379,0.0,0
14,500.0,375.07551531869353,0.0,0
15,500.0,377.6478030299113,0.0,0
16,500.0,441.25418269252157,0.0,0
17,500.0,474.7398631632856,0.0,0
18,500.0,454.567301174161,0.0,0
19,500.0,422.07216914639537,0.0,0
20,500.0,435.98900526470595,0.0,0
21,500.0,429.83849000492444,0.0,0
22,500.0,417.8379791511653,0.0,0
23,500.0,350.5253158252691,0.0,0
24,500.0,360.9605059792369,0.0,0
25,500.0,330.20322017340436,0.0,0
26,500.0,300.63936734351466,0.0,0
27,500.0,282.64433548716147,0.0,0
28,500.0,255.5252169876528,0.0,0
29,500.0,248.32825594423537,0.0,0
30,500.0,283.1565468990548,0.0,0
31,500.0,267.4804656626849,0.0,0
32,500.0,264.2507426076369,0.0,0
33,500.0,242.54355040654946,0.0,0
34,500.0,293.5185321925758,0.0,0
35,500.0,323.98941148591894,0.0,0
36,500.0,334.1463303045274,0.0,0
37,500.0,357.70298353559417,0.0,0
38,500.0,420.746506243048,0.0,0
39,500.0,419.3442002784508,0.0,0
40,500.0,405.92605838448776,0.0,0
41,500.0,420.9333128973641,0.0,0
42,500.0,442.2139016765577,0.0,0
43,500.0,464.1516484225459,0.0,0
44,500.0,403.8792697997617,0.0,0
45,500.0,445.97884077966216,0.0,0
46,500.0,386.304481489856,0.0,0
47,500.0,339.88372705225413,0.0,0
48,500.0,357.2317957152113,0.0,0
49,500.0,350.56361575716824,0.0,0
50,500.0,297.3740934170388,0.0,0
51,500.0,295.538624720961,0.0,0
